test_id,node,test_category,test_description,test,result,failure_reason
217,leaf4-DC1,Routing Table,Remote VTEP address,192.168.102.3,PASS,
218,leaf1-DC1,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
219,leaf1-DC1,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
220,leaf1-DC1,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
221,leaf1-DC1,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
222,leaf1-DC1,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
223,leaf1-DC1,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
224,leaf1-DC1,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
225,leaf2-DC1,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
226,leaf2-DC1,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
227,leaf2-DC1,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
228,leaf2-DC1,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
229,leaf2-DC1,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
230,leaf2-DC1,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
231,leaf2-DC1,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
232,leaf3-DC1,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
233,leaf3-DC1,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
234,leaf3-DC1,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
235,leaf3-DC1,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
236,leaf3-DC1,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
237,leaf3-DC1,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
238,leaf3-DC1,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
239,leaf4-DC1,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
240,leaf4-DC1,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
241,leaf4-DC1,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
242,leaf4-DC1,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
243,leaf4-DC1,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
244,leaf4-DC1,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
245,leaf4-DC1,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
246,leaf1-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1-DC1 - 192.168.101.1 Destination: 192.168.101.1,FAIL,100% packet loss
247,leaf1-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1-DC1 - 192.168.101.1 Destination: 192.168.101.2,FAIL,100% packet loss
248,leaf1-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1-DC1 - 192.168.101.1 Destination: 192.168.101.3,FAIL,100% packet loss
249,leaf1-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1-DC1 - 192.168.101.1 Destination: 192.168.101.4,FAIL,100% packet loss
250,leaf1-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1-DC1 - 192.168.101.1 Destination: 192.168.101.11,FAIL,100% packet loss
251,leaf1-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1-DC1 - 192.168.101.1 Destination: 192.168.101.12,FAIL,100% packet loss
252,leaf1-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1-DC1 - 192.168.101.1 Destination: 192.168.101.13,FAIL,100% packet loss
253,leaf2-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2-DC1 - 192.168.101.2 Destination: 192.168.101.1,FAIL,100% packet loss
254,leaf2-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2-DC1 - 192.168.101.2 Destination: 192.168.101.2,FAIL,100% packet loss
255,leaf2-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2-DC1 - 192.168.101.2 Destination: 192.168.101.3,FAIL,100% packet loss
256,leaf2-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2-DC1 - 192.168.101.2 Destination: 192.168.101.4,FAIL,100% packet loss
257,leaf2-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2-DC1 - 192.168.101.2 Destination: 192.168.101.11,FAIL,100% packet loss
258,leaf2-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2-DC1 - 192.168.101.2 Destination: 192.168.101.12,FAIL,100% packet loss
259,leaf2-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2-DC1 - 192.168.101.2 Destination: 192.168.101.13,FAIL,100% packet loss
260,leaf3-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3-DC1 - 192.168.101.3 Destination: 192.168.101.1,FAIL,100% packet loss
261,leaf3-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3-DC1 - 192.168.101.3 Destination: 192.168.101.2,FAIL,100% packet loss
262,leaf3-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3-DC1 - 192.168.101.3 Destination: 192.168.101.3,FAIL,100% packet loss
263,leaf3-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3-DC1 - 192.168.101.3 Destination: 192.168.101.4,FAIL,100% packet loss
264,leaf3-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3-DC1 - 192.168.101.3 Destination: 192.168.101.11,FAIL,100% packet loss
265,leaf3-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3-DC1 - 192.168.101.3 Destination: 192.168.101.12,FAIL,100% packet loss
266,leaf3-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3-DC1 - 192.168.101.3 Destination: 192.168.101.13,FAIL,100% packet loss
267,leaf4-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4-DC1 - 192.168.101.4 Destination: 192.168.101.1,FAIL,100% packet loss
268,leaf4-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4-DC1 - 192.168.101.4 Destination: 192.168.101.2,FAIL,100% packet loss
269,leaf4-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4-DC1 - 192.168.101.4 Destination: 192.168.101.3,FAIL,100% packet loss
270,leaf4-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4-DC1 - 192.168.101.4 Destination: 192.168.101.4,FAIL,100% packet loss
271,leaf4-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4-DC1 - 192.168.101.4 Destination: 192.168.101.11,FAIL,100% packet loss
272,leaf4-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4-DC1 - 192.168.101.4 Destination: 192.168.101.12,FAIL,100% packet loss
273,leaf4-DC1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4-DC1 - 192.168.101.4 Destination: 192.168.101.13,FAIL,100% packet loss
